肾康注射剂(20ml*1支),30.0
◆氯化钾注射剂（大冢塑瓶）(1.0g/10ml*1瓶),620.0
血必净注射剂(10ml*1支),420.0
还原型谷胱甘肽注射剂（阿拓莫兰/针）(0.6g*1瓶),33.0
山莨菪碱注射剂(江苏)(10mg/1ml*1支),1.0
门冬氨酸钾注射剂（代甲）(1.712g/10ml*1支),31.0
复方曲肽注射剂(CO 81.2mg/2ml*1支),290.0
人血白蛋白注射剂（Baxter）(20.00% 10g/50ml*1瓶),4.0
◆氨茶碱注射剂(上海) (0.25g/2ml*1瓶),3.0
地塞米松注射剂（山东）(5mg/1ml*1支),94.0
◆曲马多注射剂（精2）(0.1g/2ml*1支),1.0
人血白蛋白注射剂（AlbuRx）(20.00% 10g/50ml*1瓶),24.0
二乙酰氨乙酸乙二胺注射剂(江苏)(0.3g*1瓶),4.0
纳洛酮注射剂 2.0mg[大](2.0mg*1瓶),35.0
左氧氟沙星氯化钠注射剂（恒奥）[非限制](0.5g/100ml*1瓶),2.0
门冬氨酸钾镁注射剂（潘南金）(CO 852mg/10ml*1支),18.0
美罗培南注射剂（中诺舒罗克）[特殊](0.5g*1瓶),64.0
氟马西尼注射剂（恩华）(0.5mg/5ml*1支),6.0
垂体后叶注射剂(上海)(6单位/2ml*1支),23.0
复方氨基酸注射剂18AA-Ⅱ（法谱）(CO 28.5g/250ml*1瓶),18.0
莫西沙星氯化钠注射剂（拜复乐）[限制](0.4g*250ml),8.0
乌拉地尔注射剂（利喜定）(25mg/5ml*1支),160.0
磺苄西林注射剂（嘉倍康）[限制](1g*1支),10.0
呋塞米注射剂（天津金耀）(20mg/2ml*1支),80.0
碳酸氢钠注射剂 (0.5g/10ml*1支),4.0
卡贝缩宫素注射剂(100ug/1ml*1瓶),1.0
精氨酸注射剂(5g/20ml*1支),1.0
二羟丙茶碱注射剂(0.25g/2ml*1支),2.0
氢化可的松注射剂(10mg/2ml*1支),110.0
氨基酸注射剂（洛安命）(12.5g/250ml*1瓶),16.0
米卡芬净注射剂（米开民）[特殊](50mg*1支),12.0
连花清瘟颗粒（以岭）(6g*10袋),1.0
氯化钠注射液[100ml](石家庄)(0.90% 100ml*1袋),2237.0
◆异丙嗪注射剂(韩都)(50mg/2ml*1支),3.0
乙酰半胱氨酸泡腾片(600mg*4片),4.0
门冬氨酸鸟氨酸注射剂（瑞甘/针）[大](2.5g*1支),96.0
前列地尔注射剂（凯时）(10ug/2ml*1支),100.0
氯化钠注射液[500ml](石家庄)(0.90% 500ml*1袋),2446.0
葡萄糖注射剂(5%)[250ml](四川科伦)(5.00% 250ml*1袋),49.0
矛头蝮蛇血凝酶注射剂（巴曲亭）(1U*1支),43.0
甘油果糖氯化钠注射剂(山东)(250ml*1袋),17.0
◆灭菌注射用水（山东）[500ml](500ml*1瓶),489.0
泮托拉唑注射剂（诺森） (60mg*1瓶),76.0
赖氨匹林注射剂 (0.9g*1瓶),26.0
甘露醇注射剂(四川科伦)(50g/250ml*1袋),40.0
吸入用布地奈德混悬液（普米克令舒）(1mg/2ml),2.0
◆肾上腺素注射剂(1mg/1ml*1支),28.0
二乙酰氨乙酸乙二胺注射剂（华北制药） (0.3g/5ml*1支),42.0
◆去乙酰毛花苷注射剂(成都)  (0.4mg/2ml*1支),11.0
肠内营养混悬液（SP）（百普力）(500ml*1瓶),25.0
阿托品注射剂（天津）(0.5mg/1ml*1支),2.0
◆丙泊酚中/长链脂肪乳注射剂(50ml)(0.5g/50ml*1支),59.0
◆多巴酚丁胺注射剂（上海）(20mg/2ml*1支),23.0
奥美拉唑钠注射剂（奥西康）[40mg]  (40mg*1支),-2.0
泮托拉唑注射剂（卓迪）   (42.3mg*1瓶),64.0
丁二磺酸腺苷蛋氨酸注射剂（思美泰）(0.5g*1支),70.0
脂溶性维生素Ⅱ/水溶性维生素组合注射剂(成都)(1盒),11.0
◆凝血酶冻干粉（杭康） (5000U*1瓶),3.0
氨溴索注射剂(沐舒坦)(15mg/2ml*1支),28.0
胸腺五肽注射剂（通达） (10mg/1ml*1支),6.0
双歧杆菌四联活菌片（思连康）(0.5g*24片),18.0
利多卡因注射液(0.1g/5ml*1支),42.0
碳酸氢钠注射剂（回音必）(12.5g/250ml*1瓶),291.0
细辛脑注射剂(山西普德)(8mg*1支),78.0
螺内酯片(20mg*100片),1.0
◆缩宫素注射剂（上海第一）(10U/1ml*1支),33.0
益母草注射剂(1ml*1支),32.0
◆多索茶碱注射剂(山西普德)  (0.1g*1瓶),98.0
左旋氨氯地平片（施慧达）(2.5mg*14片),2.0
神经节苷脂注射剂（申捷）(20mg/2ml*1支),120.0
◆瑞芬太尼注射剂（麻）(2mg*1支),60.0
维生素C注射剂(新华)(1g/5ml*1支),24.0
多烯磷脂酰胆碱注射剂（成都）(232.5mg/5ml*1支),16.0
复方脑肽节苷脂注射剂（乐利聪）(CO 2ml*1支),25.0
地西泮注射剂（精2）（天津）(10mg/2ml*1支),2.0
低分子量肝素钙注射剂（万脉舒）(4100AXaIU/0.4ml*1支),21.0
◆间羟胺注射剂（上海禾丰）(10mg/1ml*1支),10.0
开塞露(20ml*1支),18.0
伏立康唑片（威凡片）[限制](200mg*1片),38.0
甲泼尼龙注射液（甲强龙）(0.5g/7.8ml*1瓶),1.0
头孢替唑注射剂（益替欣）[非限制](1g*1支),1.0
肠内营养混悬液(TPF)(能全力)(1.5kcal/1ml*500ml),81.0
葡萄糖注射剂(10%)[500ml](四川科伦)(10.00% 500ml*1袋),4.0
丙氨酰-谷氨酰胺注射剂（多蒙特）(10g/50ml*1瓶),50.0
胸腺五肽注射液（和信）(10mg/1ml*1支),67.0
磺苄西林注射剂（万普健） [限制](1g*1瓶),52.0
